noid,codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,zona_postal,codigo_postal,limite_norte,limite_sur,limite_este,limite_oeste,tipo,barrios_contenidos_en_el_codigo_postal,veredas_contenidas_en_el_codigo_postal
3003,68,SANTANDER,68615,RIONEGRO,6875,687519,M. LA ESPE.- CACHI. Y RÍO CÁCHI.,M. LEBRIJA Y RÍO CÁCHI. DEL SUR,MUNICIPIO EL PLAYÓN,MUNICIPIO SABANA DE TORRES,Rural,Sin Informacion de Barrios,Caribe- Irlanda-  Puerto Limón-  Villa Eva-  Bocas
3089,70,SUCRE,70204,COLOSO,7070,707030,KR 2,LIMITE URBANO,CL 1,LIMITE URBANO,Urbano,6 de Enero- Calle Nueva- Villa María,Sin Informacion de Veredas
183,5,ANTIOQUIA,05674,SAN VICENTE,540,54018,VIA SAN VICENTE - CONCEPCION,M. MARINILLA Y RÍO NEGRO,MUNICIPIO PEÑOL,MUNICIPIO GUARNE,Rural,Sin Informacion de Barrios,Compañia Abajo- El Canelo-  El Carmelo-  La Cabaña-  La Peña-  Piedra Gorda-  Salto Arriba
2089,44,LA GUAJIRA,44090,DIBULLA,4460,446007,MAR CARIBE,VÍA RIOHACHA-SANTA MARTA,MUNICIPIO RIOHACHA,VÍA CASA DE ALUMINIO-MAR CARIBE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
877,15,BOYACA,15621,RONDON,1534,153420,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2129,47,MAGDALENA,47545,PIJIÑO DEL CARMEN,4740,474048,MUNICIPIO SANTA ANA,M. ASTREA Y SAN SEBAS. DE BUENAVIS.,MUNICIPIO EL PASO,RÍO (PERMANENTE),Rural,Sin Informacion de Barrios,Casa Blanca- San Jose de Prevension
1765,25,CUNDINAMARCA,25592,QUEBRADANEGRA,2534,253427,MUNICIPIO UTICA,MUNICIPIO VILLETA,MUNICIPIO NIMAIMA,MUNICIPIO GUADUAS,Rural,Sin Informacion de Barrios,Cune- GALETA-  HATO-  LA ESPERANZA-  LA FLORIDA-  LA UNION-  NACEDEROS-  Salitre Blanco-  Salitre Negro
228,5,ANTIOQUIA,05002,ABEJORRAL,550,55030,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Alto de Letras
745,15,BOYACA,15753,SOATA,1510,151007,MPIO. TIPACOQUE,MUNICIPIO SUSACÓN,MUNICIPIO BOAVITA,MUNICIPIO ONZAGA,Rural,Sin Informacion de Barrios,Cabecera Municipal- Cañabravo-  Centro-  Centro-  El Espinal-  El Espinal-  La Chorrera-  Llano Grande-  LLanoGrande
2248,50,META,50711,VISTAHERMOSA,5040,504068,RÍO GUEJAR- CAÑO TUBO Y CACHAMA,MPIO. SAN J. DEL GAVIARE,MUNICIPIO PUERTO RICO,MUNICIPIO LA MACARENA,Rural,Sin Informacion de Barrios,Angoleta- Argentina-  Bajo Vergel-  Brisas del Guejar-  Cachicamo-  Charcon-  Puerto Nuevo
3190,73,TOLIMA,73449,MELGAR,7340,734007,MUNICIPIO NILO,MUNICIPIO CUNDAY,MUNICIPIO ICONONZO,MPIO. CARMEN DE APICALÁ,Rural,Sin Informacion de Barrios,Buenavista- Calcuta-  Cualamaná-  El Águila-  El Águila Baja-  El Floral-  Inalí-  La Primavera
68,5,ANTIOQUIA,05264,ENTRERRIOS,514,51437,MUNICIPIO BELMIRA,M. SAN PEDRO DE LOS MI.,M. STA ROSA DE OSOS,MUNICIPIO BELMIRA,Rural,Sin Informacion de Barrios,Cabecera Municipal- Cucurucho-  El Botón-  El Peñol-  El Progreso-  Embalse Río Grande-  La Muñoz-  La Planta-  Las Brisas-  Los Salados-  Orobajo Río Grande-  Pío XII-  Quebrada del Medio-  Río Chico-  Río Grande-  Riochico-  Tesorero-  Verbenal
1185,19,CAUCA,19142,CALOTO,1910,191077,VÍA S/DER. DE QUILICHAO-NATALA,M. S. DE QUILICHAO Y JAMBALÓ,M. JAMBALÓ Y TORIBÍO,MPIO. S. DE QUILICHAO,Rural,Sin Informacion de Barrios,Altamira- Campo Alegre-  Carpintero-  Dominga Alta-  El Arrayán-  El Chocho-  El Poblado-  El Socorro-  Guadualito-  Guataba-  Huellas-  La Buitrera-  La Estrella-  La Guinea-  La Palma-  La Pila-  La Placa-  Loma Gruesa-  Loma Pelada-  Los Chorros-  Los
2226,50,META,50577,PUERTO LLERAS,5030,503008,MPIO. FUENTE DE ORO,MUNICIPIO PUERTO RICO,RÍO ARIARI,M. SAN J. DE ARAMA Y VISTAHERMOSA,Rural,Sin Informacion de Barrios,Brasilia- Campo Alegre-  Cano Rayado-  Caribe-  Charco 16-  Fundadores-  Primavera
29,5,ANTIOQUIA,05001,MEDELLIN,500,50032,CL  47D  Y  KR  96,CL 32- 31B  Y  31D,KR  81 Y  80,KR 106A- 93  Y  LIM URB,Urbano,Barrio Cristóbal- Belencito- Campo Alegre- El Danubio- La América- La Castellana- La Floresta- Las Mercedes- Nueva Villa del Aburrá- Santa Mónica- Santa Teresita- Simón Bolívar,Sin Informacion de Veredas
344,5,ANTIOQUIA,05138,CAÑASGORDAS,570,57067,MUNICIPIO URAMITA,RÍO CAÑAS G. Y RELIEVE M.,MUNICIPIO BURITICÁ,MUNICIPIO URAMITA,Rural,Sin Informacion de Barrios,Alto de la Aldea- Caracolal-  Cestillal-  Chupadero-  Cumbarrá-  El Socorro-  La Aguada-  La Curva-  La Loma-  San Luis del Café-  San Miguel-  San Pascual-  Santo Cristo-  Uvital
3540,88,ARCHIPIELAGO DE SAN ANDRES,88001,SAN ANDRES,8800,880007,LIMITE URBANO,SAN LUIS,MAR CARIBE,MAR CARIBE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
1435,23,CORDOBA,23672,SAN ANTERO,2315,231520,LIMITE URBANO,LIMITE URBANO,CL 12 E,LIMITE URBANO,Urbano,Bejiga- Calle Central- Campano- Cardales- Cervella- El Panteón- La Esperanza- Las Flores- Minuto de Dios- Miramar- Nueva Esperanza- Nueve de Junio- Obrero- Paraíso- Pata de Vaca- Petare- Polo Norte- Sagrado Corazón- Sierra Morena,Bijaito
2523,52,NARIÑO,52835,SAN ANDRES DE TUMACO,5285,528538,MUNICIPIO FRANCISCO PIZARRO,QUEBRADA,MUNICIPIO ROBERTO PAYAN,OCEANO PACIFICO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2023,41,HUILA,41359,ISNOS,4180,418049,VÍA ISNOS-PURACÉ,VÍA ISNOS-SAN AGUSTÍN,VÍA ISNOS-PURACÉ,MPIO. SAN AGUSTÍN,Rural,Sin Informacion de Barrios,AGUADAS- ALTO JUNIN-  BAJO JUNIN-  BETANIA-  CAPILLAS-  DIAMANTE-  DIAMANTE-  GRANADA-  GUACAS-  IDOLOS-  MARBELLA-  OBANDO-  PALMAR-  PALMEIRAS-  PEÑAS BLANCAS-  PLATANARES-  PLATANARES-  PORVENIR-  RODDRIGO LARA-  RODDRIGO LARA-  SALEM-  TIGRE
2241,50,META,50287,FUENTE DE ORO,5040,504027,MPIO. GRANADA Y SAN MARTÍN,RÍO ARIARI Y M. PTO. LLERAS,MUNICIPIO SAN MARTÍN,RÍO ARIARI,Rural,Sin Informacion de Barrios,Alto Iraca- De Bolívar
1963,41,HUILA,41013,AGRADO,4140,414040,LIMITE URBANO,LIMITE URBANO,KR 1,KR 11,Urbano,Sin Informacion de Barrios,Bajo Buena Vista- Cabecera Municipal-  La Galda
3168,73,TOLIMA,73200,COELLO,7335,733508,MPIO. IBAGUÉ Y PIEDRAS,MUNICIPIO ESPINAL,VÍA COELLO-DOIMA,MPIO. SAN LUIS Y ESPINAL,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2415,52,NARIÑO,52317,GUACHUCAL,5245,524587,MUNICIPIO SAPUYES,M. CUASPUD- ALDA. Y PUPIALES,M. SAPUYES Y PUPIALES,RÍO SAPUYES,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
519,11,BOGOTA D.C.,11001,LOCALIDAD TEUSAQUILLO,1113,111321,AC  63,DG  22A,AK  30,AK  68,Urbano,Acevedo Tejada- Campo Eucarístico- Campín Occidental- Centro Administrativo Occ- Centro Nariño- Ciudad Salitre Nor-Oriental- Ciudad Salitre Sur-Oriental- Ciudad Universitaria- El Recuerdo- El Salitre- Gran América- La Esmeralda- Nicolás de Federman- Pablo,Sin Informacion de Veredas
2632,54,NORTE DE SANTANDER,54670,SAN CALIXTO,5470,547018,MUNICIPIO TEORAMA,MPIO. OCAÑA Y LA PLAYA,M. HACARÍ Y Q/DA. SAN MIGUEL,MUNICIPIO TEORAMA,Rural,Sin Informacion de Barrios,El Limon- El Oso-  El Pantano-  Estrella Alta-  Estrella Baja-  Farache-  Guaranao-  Limites-  Los Angeles-  Piedra de Moler-  Vijagual
3094,73,TOLIMA,73001,IBAGUE,7300,730002,LIMITE URBANO,KR 5,CL 70,CL 60 Y LIMITE URBANO,Urbano,Sin Informacion de Barrios,Bellavista- El Triunfo-  La Pedreguera
763,15,BOYACA,15180,CHISCAS,1514,151407,MUNICIPIO CUBARA,M. MACARAVITA Y EL ESPINO,M. MUNICIPIO GÛICAN,MUNICIPIO CARCASI,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2833,68,SANTANDER,68264,ENCINO,6825,682548,RÍO GUACHA,M. CHARA.- DUITA. Y STA. R. DE V.,MPIO. CERINZA Y BELEN,RÍO LA RUSIA,Rural,Sin Informacion de Barrios,Avendaño- Avendaños-  Cabuya-  Cañada-  Centro-  Chapa-  El Carmen-  El Hato-  La Meseta-  Martinez Peña-  Patios Altos-  Patios Bajos-  Piedras Blancas-  Rionegro
1326,20,CESAR,20001,VALLEDUPAR,2000,200009,MUNICIPIO SAN J. DEL CESAR,RIO AZUCAR BUENO,M. VILLANUE.- LA J. DEL PI. Y SAN D.,VIA BOSC.-VALLED.-SAN J. DEL C.,Rural,Sin Informacion de Barrios,EL ENEAL- LOS SANJONES-  SAN JERONIMO
67,5,ANTIOQUIA,05264,ENTRERRIOS,514,51430,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,CL 14,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3271,76,VALLE DEL CAUCA,76001,CALI,7600,760036,AK TEQUENDAMA Y KR 44,AK GUADALUPE,CL  25,CL  5,Urbano,Cañaverales - Los Samanes- Camino Real - Los Fundadores- Departamental- Jorge Zawadsky- La Selva- Las Granjas- Nueva Tequendama- Panamericano- Primero de Mayo- San Judas Tadeo I- Santo Domingo- Unidad Residencial Santiago de Cali- Urbanización Militar,Sin Informacion de Veredas
589,13,BOLIVAR,13442,MARIA LA BAJA,1310,131077,MUNICIPIO ARJONA,MUNICIPIO SAN ONOFRE,VIA PUEBLO NUEVO-CORREA,MUNICIPIO SAN ONOFRE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
1189,19,CAUCA,19142,CALOTO,1910,191088,MUNICIPIO PUERTO TEJADA,VÍA VILLA RICA-PADILLA,MUNICIPIO PADILLA,MUNICIPIO VILLA RICA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
1784,25,CUNDINAMARCA,25491,NOCAIMA,2536,253627,MPIO. NIMAIMA Y VERGARA,M. SASAIMA Y LA VEGA,MPIO. LA VEGA Y VERGARA,MPIO. NIMAIMA Y VILLETA,Rural,Sin Informacion de Barrios,Alto de Pajas- Baquero-  Cabecera Municipal-  CALAMO-  Cañutal-  Centro-  CHAGUANI-  Chonte Grande-  Cocunche-  El Fiscal-  El Tigre-  GUARUMAL-  Jagual-  La Florida-  La Montaña-  Las Mercedes-  Lauta-  LOMA LARGA-  Lomalarga-  Naranjal-  Naranjal-  RESG
413,8,ATLANTICO,08078,BARANOA,820,82020,CL 4,LIMITE URBANO,KR 29,KR 5,Urbano,1 de Enero- Caldas- El Porvenir- España- Góngora- Guayabal- La Candelaria- La Esperanza- Las Américas- Las Margaritas- Loma Fresca- Manzanares- Once de Noviembre- Pinique- Primavera- San Cayetano- San José- Santa Helena- Topacio- Veinte de Julio- Villa An,Sin Informacion de Veredas
286,5,ANTIOQUIA,05145,CARAMANTA,560,56040,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1857,27,CHOCO,27361,ISTMINA,2740,274017,M. EL CANTÓN DE S. P.- UNIÓN PA. Y TADÓ,Q/DA. DIPURDÚ DEL GUASIMO,M. RÍO IRO- MEDIO SAN J. Y CONDOTO,MUNICIPIO MEDIO BAUDO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2198,50,META,50110,BARRANCA DE UPIA,5010,501001,CL 13,CL 1,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Cabecera Municipal- Caiman Alto-  Las Moras-  Zona Urbana
2481,52,NARIÑO,52250,EL CHARCO,5275,527529,Q/DA. PULBUZA Y RÍO (PERMANENTE),MUNICIPIO MAGÜI,MPIO. STA. BÁRBARA Y RÍO (PERMA.),MUNICIPIO LA TOLA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
296,5,ANTIOQUIA,05209,CONCORDIA,564,56417,MUNICIPIO BÉTULIA,MPIO. SALGAR Y VENECIA,MPIO. ARMENIA Y TITIRIBI,MPIO. SALGAR Y URRAO,Rural,Sin Informacion de Barrios,Bolombolo- Burgos-  Cabecera Municipal-  Caunzal-  El Cascajo-  El Chocho-  El Concilio-  El Golpe-  El León-  El Socorro-  Higuerón-  La Botija-  La Comia-  La Costa-  La Cristalina-  La Fotuta-  La Padilla-  La Raya-  La Selva-  La Sucia-  La Sucre-  La
1700,25,CUNDINAMARCA,25797,TENA,2526,252610,CL 9,DG 2 S,KR 0,KR 8B,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2438,52,NARIÑO,52720,SAPUYES,5255,525550,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
1908,41,HUILA,41001,NEIVA,4100,410003,LIMITE URBANO,CL 23 Y KR 49,LIMITE URBANO,CL  25A,Urbano,Alberto Yepes- Antonio Nariño- Camino Real- Campo Real- Ciudad Salitre- Ciudadela Antonio Baraya- El Oasis- El Pedregal- El Triunfo- Enrique Olaya Herrera- Granja San Bernardo- Katakandru- La Amistad- La Palma II Etapa- La Pradera- La Rioja- La Victoria-,Sin Informacion de Veredas
2192,50,META,50001,VILLAVICENCIO,5000,500004,AK 40 Y KR 33,RIO OCOA  Y  LIM URB,KR  22,KR 48 Y VIA P/LELA C. TIGRE,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
914,15,BOYACA,15638,SACHICA,1538,153880,CL 8,CL 0,KR 0,KR 7,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2478,52,NARIÑO,52250,EL CHARCO,5275,527520,CL 5 S,LIMITE URBANO,KR 5,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
989,15,BOYACA,15572,PUERTO BOYACA,1552,155218,VÍA (AFIRMADA),MUNICIPIO YACOPI,VÍA OTANCHE - PUERTO TRIUNFO,CAÑO EL ABEJORRO,Rural,Sin Informacion de Barrios,CACERES- EL MORRO-  La Pizarra
203,5,ANTIOQUIA,05660,SAN LUIS,544,54438,MUNICIPIO SAN CARLOS,MUNICIPIO SAN FRANCISCO,RÍO CALDERA,M. GRANADA Y COCORNA,Rural,Sin Informacion de Barrios,Boqueron- Cabecera Municipal-  Comejenes-  Cuba-  El Cruce-  El Jordán-  El Olivo-  El Pescado-  El Popal-  El Silencio-  El Socorro-  El Tagual-  El Tricua-  La Aurora-  La Garrucha-  La Habana-  La India-  La Lora-  La Palmera-  La Tebaida-  Manizales-
1008,17,CALDAS,17653,SALAMINA,1720,172001,LIMITE URBANO,LIMITE URBANO,KR 9,KR 1,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3485,85,CASANARE,85440,VILLANUEVA,8550,855030,CL 28A,CL 7S,KR 1 E,KR 15,Urbano,Bello Horizonte- Bosque- Brisas del Agua Clara- Brisas del Upía- Brisas del Upía 2- Centro- Fundadores- Morichal- Panorama- Paraíso- Progreso- Villa Clara- Villaluz,Caracoli- La Colmena-  La Libertad
2032,44,LA GUAJIRA,44001,RIOHACHA,4400,440007,RÍO RANCHERIA,VIA ALBANIA - MATITA,RÍO RANCHERIA,VIA RIOHACHA - MATITA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
3634,97,VAUPES,97001,MITU,9700,970009,RÍO VAUPÉS,MUNICIPIO PACOA,MPIO. YAVARATE Y PAÍS BRASIL,MUNICIPIO CARURU,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2598,54,NORTE DE SANTANDER,54418,LOURDES,5450,545077,MUNICIPIO SARDINATA,MUNICIPIO GRAMALOTE,MUNICIPIO GRAMALOTE,MPIO. VILLA CARO Y BUCARASICA,Rural,Sin Informacion de Barrios,Balcones- Cabecera Municipal-  Camporico-  Carmen-  Corazones-  El Silicio-  Fátima-  Filo Seco-  Helechal-  La Alianza-  La Armenia-  La Miel-  La Pajulia-  La Primavera-  Las Brisas-  Las Mercedes-  Los Pinos-  Moyitas-  Pío XII-  San Antonio-  San Isid
1083,18,CAQUETA,18001,FLORENCIA,1800,180017,LIMITE MUNICIPAL,VIA MORELIA - FLORENCIA,RIO HACHA,RÍO BODOQUERO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2876,68,SANTANDER,68209,CONFINES,6835,683531,CL 15,CL 3,KR 4,KR 7,Urbano,Sin Informacion de Barrios,Cabecera Municipal- Salitre
3075,70,SUCRE,70670,SAMPUES,7050,705070,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,12 de Octubre- 7 de Agosto- 9 de Marzo- Balcones Del Río- Barranquillita- El Campano- El Carmen- Fátima- Gustavo Dajer- La Balsa- La Palma- Las Colinas- Las Flores- Las Mercedes- Millán Vargas- Pera Alonso- Sampumas- San José- San Juan de Dios- Santa Mart,Sin Informacion de Veredas
1256,19,CAUCA,19256,EL TAMBO,1935,193588,MUNICIPIO LOPEZ,RÍO (PERMANENTE),RÍO (PERMANENTE),MUNICIPIO LOPEZ,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
48,5,ANTIOQUIA,05308,GIRARDOTA,510,51037,MUNICIPIO DON MATIAS,LIMITE URBANO,MUNICIPIO BARBOSA,MUNICIPIO COPACABANA,Rural,Sin Informacion de Barrios,El Socorro- El Tigre-  La Mata-  La Matica-  Loma de los Ochoa-  Mercedes abrego-  Potrerito
2698,66,RISARALDA,66170,DOSQUEBRADAS,6610,661007,MPIO. MARSELLA Y SANTA RO. DE CABAL,LIMITE URBANO,MPIO. SANTA ROSA DE CABAL,MUNICIPIO PEREIRA,Rural,Sin Informacion de Barrios,Alto Erazo- El Nudo-  El Sinai-  El Tobanito-  Estanquillo-  La Argentina-  La Cima-  La Esperanza-  La Esperanza-  La Fría-  La Palma-  La Unión-  Llano Grande-  Minas del Socorro-  Nueva Independencia-  Pital de Combia-  Santana
239,5,ANTIOQUIA,05390,LA PINTADA,550,55068,RÍO CAUCA,MUNICIPIO VALPARAISO,MUNICIPIO AGUADAS,MUNICIPIO TAMESIS,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2396,52,NARIÑO,52560,POTOSI,5240,524038,MPIO. IPIALES Y CORDOBA,MUNICIPIO IPIALES,RÍO SAN FRANCISCO,QUEBRADA YAMUESQUER,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2689,66,RISARALDA,66001,PEREIRA,6600,660004,AK 30 AGO - KR 13,LIMITE URBANO,CL  17,CL 51 -SANJÓN LA UNIÓN,Urbano,Alcazar de Maraya- Altos de Tanambi- Balcones Villa del Prado- Barajas Central- Barajas I- Barajas II- Belalcázar- Bloques Ciudad Pereira- Bosque de La Salle- Boston- Brasilia- Brisas de Las Américas- Cachipay- Caminos de Maraya- Casas Tulcán- Centenario-,Naranjito
2531,54,NORTE DE SANTANDER,54001,CUCUTA,5400,540004,LIMITE URBANO,CL 6 Y 7E,LIMITE URBANO,AK  2E,Urbano,13 de Marzo- Bocono- Caña Fistolo- El Higuerón- Heliópolis- La Alameda- La Isla de La Fantasía- La Quinta- La Unión- Nuebo Escobal- Pamplonita- Prados del Este- Santa Clara- Terranova- Urbanización San Martín- Urbanización San Martín 2- Viejo Escobal- Vil,El Palmar
401,8,ATLANTICO,08573,PUERTO COLOMBIA,810,81007,MAR CA. Y M. B/QUILLA,VIA B/QUILLA-PTO. COL.,MPIO. B/QUILLA,MAR CARIBE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
3063,70,SUCRE,70400,LA UNION,7040,704050,CL 3,CL 15A,CL 14 C,CL 8,Urbano,Avenida Núñez- Betania- Doce de Marzo- La Paz- Las Brisas- Los Cayitos- Nuevo- Paralibio- Pueblo Nuevo- San Antonio- San Mateo- San Pedro- Santa Fé- Santander- Santo Domingo- Urbanización San Antonio,Sin Informacion de Veredas
1344,20,CESAR,20175,CHIMICHAGUA,2010,201057,VÍA EL BANCO-CHIMI. Y CIÉNA. EL RUBIO,MUNICIPIO PAILITAS Y TAMALAMEQUE,MPIO. EL CARMEN Y CURUMANI,MUNICIPIO EL BANCO,Rural,Sin Informacion de Barrios,Campo Alegre- Chinela-  Dos Brazos-  Hoja Ancha-  La Conquista No 2-  La Luna Sector 1-  La Morrocoya-  Las Tijeras-  Villa Colón
3435,85,CASANARE,85001,YOPAL,8500,850001,LIMITE URBANO  Y  RIO CRAVO SUR,CL  24,LIMITE URBANO,LIMITE URBANO Y RIO CHARTE,Urbano,1 de Mayo- Bello Horizonte- Bicentenario- Bon Habitat- Brisas del Cravo- Caribabare- Dalel Barón- Ejército Nacional- El Alcaravan- El Bosque- El Brosquero- El Centro- El Gaván- El Libertador- El Remanso I- El Salitre- El Yarumo- Juan Pablo- La Amistad- La,Sin Informacion de Veredas
2356,52,NARIÑO,52260,EL TAMBO,5220,522068,MUNICIPIO TAMINANGO,VÍA EL PEÑOL-MATITUY,M. CHACHAGÜI Y LA FLORIDA,MUNICIPIO EL PEÑOL,Rural,Sin Informacion de Barrios,Capuli de Minas- Las Azogues-  LLano Largo-  Méjico-  Placer-  Ricaurte
556,13,BOLIVAR,13001,CARTAGENA,1300,130015,CL  30 Y 31,TV  54,DG 30 Y TV 50,DG  22,Urbano,Altos de San Isidro- Amberes- Armenia- Bosquecito- Brucelas- El Prado- España- José Antonio Galán- Juan XXIII- Junín- Las Brisas- Los Cerros- Nueva Granada- Nueve de Abril- Nuevo Bosque- Paraguay- Piedra de Bolívar- República de Chile- San Isidro,Sin Informacion de Veredas
2942,68,SANTANDER,68397,LA PAZ,6855,685517,M. VELEZ Y STA. H. DE OPÓN,VÍA AGUADA-LA PAZ Y RÍO (PER.),M. AGUA.- EL GUACA. Y STA. H. OP.,MUNICIPIO VELEZ,Rural,Sin Informacion de Barrios,Los Medios
620,13,BOLIVAR,13430,MAGANGUE,1325,132527,MUNICIPIO MOMPOS,MUNICIPIO ACHÍ,MUNICIPIO PINILLOS,MUNICIPIO SUCRE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2989,68,SANTANDER,68081,BARRANCABERMEJA,6870,687038,RIO PERMANENTE,M. SAN VICENTE DE CHUCURI,M. SABANA DE TORRES,QUEBRADA VIZCAÍNA,Rural,Sin Informacion de Barrios,ALBANIA
1339,20,CESAR,20250,EL PASO,2010,201038,RÍO CESAR Y MPIO. BECERRIL,MUNICIPIO CHIRIGUANÁ,MPIO. LA JAGUA DE IBIRICO,MUNICIPIO ASTREA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
820,15,BOYACA,15047,AQUITANIA,1524,152429,QUEBRADA SISVACA,M. SAN EDUARDO Y PAEZ,MUNICIPIO CHAMEZA,M. RONDON Y ZETAQUIRA,Rural,Sin Informacion de Barrios,Alejandria- Alpes-  Brisas de Tonce-  Cardoso-  Corales-  Jordan Alto-  Jordan Bajo-  La Esperanza-  Magavita Centro-  Morgui-  Palmar-  Providencia
1693,25,CUNDINAMARCA,25612,RICAURTE,2524,252417,MUNICIPIO TOCAIMA,MUNICIPIO MELGAR Y NILO,M. AGUA DE D. Y NILO,M. GIRARDOT Y LIMITE URBANO,Rural,Sin Informacion de Barrios,BARZALOZA- BERLING-  CAJON-  Callejón-  Casablanca-  COBOS-  Cumaca-  EL HOBAL-  El Portal-  La Apicalá-  LA BALSITA-  La Carrera-  LA PALMITA-  LA SONORA-  La Virginia-  LLano Pozo-  MALACIA-  Manuel Norte-  MANUEL NORTE-  PIAMONTE-  PRESIDENTE-  PUBENZA
3039,70,SUCRE,70110,BUENAVISTA,7020,702037,MUNICIPIO CORDOBA,MPIO. SAN LUIS DE SINCE,MUNICIPIO MAGANGUÉ,MPIO. SAN PEDRO Y SAN LUIS DE SINCE,Rural,Sin Informacion de Barrios,Granada- La Vivienda-  Numancia-  San José de Las Palmas-  San Mateo
2021,41,HUILA,41359,ISNOS,4180,418047,MPIO. SALADOBLANCO,M. SAN AGUSTÍN Y PITALITO,MUNICIPIO PITALITO,VÍA EL S. DE BORDONES-ISNOS-SAN AGUS.,Rural,Sin Informacion de Barrios,A MONDEGAL- BAJO MONDEGAL-  BELLAVISTA-  C. CHIQUITA-  CAMPOALEGRE-  EL CARMEN-  EL CARMEN-  EL PLAYON-  GUADUALES-  INDEPENDENCIA-  MARQUESA-  MORTIÑO-  PRIMAVERA-  SAN LORENZO-  VICTORIA
322,5,ANTIOQUIA,05125,CAICEDO,568,56847,MUNICIPIO ABRIAQUI,MUNICIPIO ANZA,M. SANTA FÉ DE ANTIOQUIA,MUNICIPIO URRAO,Rural,Sin Informacion de Barrios,Alta Vista- Asesi-  Bella Aguada-  Chochal-  El Filo-  El Playon-  El Tambor (Cabecera Municipal)-  La Cortada-  La Manga-  La Noque-  Los Pinos-  Los Sauces
3232,73,TOLIMA,73675,SAN ANTONIO,7355,735538,MUNICIPIO RONCESVALLES,MUNICIPIO CHAPARRAL,M. ORTEGA Y VÍA SAN ANTO.-VILLA HER.,M. RONCESVALLES Y CHAPARRAL,Rural,Sin Informacion de Barrios,Cabecera Municipal- Cajamarca-Legía-  Carrasposo-  Desierto -Peña Lisa-  El Cural-  El Potro-  El Salado-  El Silencio-  El Vino-  Florida Baja-  La Cristalina-  La Julia-  La Laguna-  Las Delicias-  Las Juntas-  Legía Baja-  Los Lirios-  Lugo Alto-  Mese
2849,68,SANTANDER,68500,OIBA,6830,683019,MPIO. GUAPOTÁ Y CONFINES,RÍO OIBITA Y Q/DA. GUAYANA,Q/DA. GUAYANA Y MPIO. CONFINES,RÍO OIBITA Y MPIO. GUAPOTÁ,Rural,Sin Informacion de Barrios,Agua Fría- Gualilos-  Morario-  San Pedro-  San Pedro
390,8,ATLANTICO,08001,BARRANQUILLA,800,80006,KR  21,KR  1B,AC BOYACA,AC MURILLO,Urbano,Alboraya- Bella Arena- Boyacá- Buenos Aires- El Campito- El Limón- El Milagro- José Antonio Galán- La Magdalena- La Unión- Las Palmas- Los Laureles- San José- San Nicolás- Tayrona- Universal- Villa Blanca,Sin Informacion de Veredas
1342,20,CESAR,20032,ASTREA,2010,201048,MPIO. PIJIÑO DEL CARMEN,MUNICIPIO CHIMICHAGUA,VÍA C-. DE ARIGUANI-CHIMICHAGUA,M. SAN S/TIAN. DE BUENAVISTA,Rural,Sin Informacion de Barrios,El Dividivi- Las Plandas-  San Rafael
